Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
All Grades,All Students,2018-19,30887,2278,28609,92.6,192,47,24.5
All Grades,All Students,2019-20,21101,1500,19601,92.9,204,58,28.4
All Grades,All Students,2020-21,32686,3931,28755,88.0,199,84,42.2
All Grades,All Students,2021-22,31663,4751,26912,85.0,190,113,59.5
All Grades,All Students,2022-23,32663,4159,28504,87.3,206,104,50.5
PK in K-12 Schools,All Students,2018-19,2104,245,1859,88.4,15,7,46.7
PK in K-12 Schools,All Students,2019-20,1490,198,1292,86.7,15,10,66.7
PK in K-12 Schools,All Students,2020-21,2830,467,2363,83.5,18,10,55.6
PK in K-12 Schools,All Students,2021-22,2812,598,2214,78.7,18,12,66.7
PK in K-12 Schools,All Students,2022-23,2136,336,1800,84.3,13,10,76.9
0K,All Students,2018-19,3491,283,3208,91.9,22,6,27.3
0K,All Students,2019-20,3091,288,2803,90.7,30,15,50.0
0K,All Students,2020-21,4685,766,3919,83.6,29,15,51.7
0K,All Students,2021-22,5371,821,4550,84.7,32,22,68.8
0K,All Students,2022-23,6224,887,5337,85.7,37,16,43.2
1,All Students,2018-19,5857,543,5314,90.7,35,10,28.6
1,All Students,2019-20,2871,218,2653,92.4,28,9,32.1
1,All Students,2020-21,5012,735,4277,85.3,32,17,53.1
1,All Students,2021-22,4489,595,3894,86.7,26,12,46.2
1,All Students,2022-23,5353,741,4612,86.2,34,21,61.8
2,All Students,2018-19,5455,328,5127,94.0,34,4,11.8
2,All Students,2019-20,4274,260,4014,93.9,42,7,16.7
2,All Students,2020-21,4512,697,3815,84.6,27,14,51.9
2,All Students,2021-22,4356,596,3760,86.3,27,16,59.3
2,All Students,2022-23,4322,474,3848,89.0,28,11,39.3
3,All Students,2018-19,5278,299,4979,94.3,33,5,15.2
3,All Students,2019-20,3862,238,3624,93.8,37,8,21.6
3,All Students,2020-21,5277,391,4886,92.6,32,8,25.0
3,All Students,2021-22,3898,588,3310,84.9,23,15,65.2
3,All Students,2022-23,5095,552,4543,89.2,33,14,42.4
4,All Students,2018-19,3536,207,3329,94.1,23,5,21.7
4,All Students,2019-20,3304,193,3111,94.2,32,7,21.9
4,All Students,2020-21,5413,540,4873,90.0,32,13,40.6
4,All Students,2021-22,5711,819,4892,85.7,34,19,55.9
4,All Students,2022-23,3480,460,3020,86.8,25,16,64.0
5,All Students,2018-19,5166,373,4793,92.8,30,10,33.3
5,All Students,2019-20,2209,105,2104,95.2,20,2,10.0
5,All Students,2020-21,4957,335,4622,93.2,29,7,24.1
5,All Students,2021-22,5026,734,4292,85.4,30,17,56.7
5,All Students,2022-23,6053,709,5344,88.3,36,16,44.4
All Grades,All Students,2018-19,44723,3979,40744,91.1,265,87,32.8
All Grades,All Students,2019-20,27491,2242,25249,91.8,250,72,28.8
All Grades,All Students,2020-21,36681,2523,34158,93.1,213,50,23.5
All Grades,All Students,2021-22,31722,3843,27879,87.9,189,99,52.4
PK in K-12 Schools,All Students,2018-19,1855,202,1653,89.1,11,4,36.4
PK in K-12 Schools,All Students,2019-20,1922,198,1724,89.7,18,9,50.0
PK in K-12 Schools,All Students,2020-21,2269,172,2097,92.4,13,6,46.2
PK in K-12 Schools,All Students,2021-22,3001,392,2609,86.9,18,11,61.1
0K,All Students,2018-19,5205,476,4729,90.9,31,7,22.6
0K,All Students,2019-20,2983,260,2723,91.3,28,8,28.6
0K,All Students,2020-21,4019,277,3742,93.1,23,5,21.7
0K,All Students,2021-22,3896,455,3441,88.3,24,11,45.8
1,All Students,2018-19,6864,650,6214,90.5,41,15,36.6
1,All Students,2019-20,3140,210,2930,93.3,29,5,17.2
1,All Students,2020-21,4174,369,3805,91.2,25,10,40.0
1,All Students,2021-22,3098,402,2696,87.0,20,11,55.0
2,All Students,2018-19,7972,676,7296,91.5,49,13,26.5
2,All Students,2019-20,4508,437,4071,90.3,41,13,31.7
2,All Students,2020-21,4550,211,4339,95.4,26,3,11.5
2,All Students,2021-22,3894,499,3395,87.2,22,12,54.5
3,All Students,2018-19,7297,620,6677,91.5,42,14,33.3
3,All Students,2019-20,5141,433,4708,91.6,46,14,30.4
3,All Students,2020-21,6650,579,6071,91.3,38,10,26.3
3,All Students,2021-22,4349,518,3831,88.1,26,13,50.0
4,All Students,2018-19,7767,772,6995,90.1,44,21,47.7
4,All Students,2019-20,4845,286,4559,94.1,43,8,18.6
4,All Students,2020-21,7601,476,7125,93.7,44,8,18.2
4,All Students,2021-22,6197,699,5498,88.7,36,18,50.0
5,All Students,2018-19,7763,583,7180,92.5,47,13,27.7
5,All Students,2019-20,4952,418,4534,91.6,45,15,33.3
5,All Students,2020-21,7363,389,6974,94.7,43,7,16.3
5,All Students,2021-22,7287,878,6409,88.0,43,23,53.5
All Grades,All Students,2018-19,85659,6800,78859,92.1,520,165,31.7
All Grades,All Students,2019-20,53694,4762,48932,91.1,509,192,37.7
All Grades,All Students,2020-21,71138,5482,65656,92.3,425,99,23.3
All Grades,All Students,2021-22,60564,8563,52001,85.9,366,196,53.6
All Grades,All Students,2022-23,59180,7634,51546,87.1,389,223,57.3
PK in K-12 Schools,All Students,2018-19,7556,1075,6481,85.8,49,25,51.0
PK in K-12 Schools,All Students,2019-20,4718,584,4134,87.6,46,25,54.3
PK in K-12 Schools,All Students,2020-21,6144,436,5708,92.9,39,8,20.5
PK in K-12 Schools,All Students,2021-22,6681,949,5732,85.8,43,27,62.8
PK in K-12 Schools,All Students,2022-23,6264,884,5380,85.9,43,25,58.1
0K,All Students,2018-19,10989,1168,9821,89.4,70,31,44.3
0K,All Students,2019-20,7174,901,6273,87.4,68,33,48.5
0K,All Students,2020-21,9866,1009,8857,89.8,63,19,30.2
0K,All Students,2021-22,8663,1320,7343,84.8,53,32,60.4
0K,All Students,2022-23,8011,969,7042,87.9,52,26,50.0
1,All Students,2018-19,11894,991,10903,91.7,74,23,31.1
1,All Students,2019-20,6849,638,6211,90.7,66,25,37.9
1,All Students,2020-21,9028,864,8164,90.4,53,18,34.0
1,All Students,2021-22,8838,1189,7649,86.5,53,32,60.4
1,All Students,2022-23,9029,1397,7632,84.5,63,44,69.8
2,All Students,2018-19,13500,1099,12401,91.9,83,28,33.7
2,All Students,2019-20,8303,741,7562,91.1,81,33,40.7
2,All Students,2020-21,10332,643,9689,93.8,62,11,17.7
2,All Students,2021-22,7495,1415,6080,81.1,45,28,62.2
2,All Students,2022-23,10263,1103,9160,89.3,66,32,48.5
3,All Students,2018-19,11741,753,10988,93.6,70,16,22.9
3,All Students,2019-20,8886,749,8137,91.6,81,26,32.1
3,All Students,2020-21,11581,966,10615,91.7,67,17,25.4
3,All Students,2021-22,8432,881,7551,89.6,51,20,39.2
3,All Students,2022-23,7490,1143,6347,84.7,46,31,67.4
4,All Students,2018-19,16337,910,15427,94.4,94,23,24.5
4,All Students,2019-20,7428,487,6941,93.4,71,21,29.6
4,All Students,2020-21,12978,1103,11875,91.5,75,21,28.0
4,All Students,2021-22,8716,1327,7389,84.8,51,27,52.9
4,All Students,2022-23,9180,981,8199,89.3,59,30,50.8
5,All Students,2018-19,13642,804,12838,94.1,80,19,23.8
5,All Students,2019-20,10336,662,9674,93.6,96,29,30.2
5,All Students,2020-21,11209,461,10748,95.9,66,5,7.6
5,All Students,2021-22,11739,1482,10257,87.4,70,30,42.9
5,All Students,2022-23,8943,1157,7786,87.1,60,35,58.3
All Grades,All Students,2018-19,54863,6309,48554,88.5,329,158,48.0
All Grades,All Students,2019-20,33896,4360,29536,87.1,309,146,47.2
All Grades,All Students,2020-21,48074,5516,42558,88.5,286,116,40.6
All Grades,All Students,2021-22,46581,9173,37408,80.3,289,203,70.2
All Grades,All Students,2022-23,39453,7130,32323,81.9,256,171,66.8
PK in K-12 Schools,All Students,2018-19,2990,400,2590,86.6,19,11,57.9
PK in K-12 Schools,All Students,2019-20,1902,321,1581,83.1,17,11,64.7
PK in K-12 Schools,All Students,2020-21,2084,407,1677,80.5,14,9,64.3
PK in K-12 Schools,All Students,2021-22,3709,754,2955,79.7,25,17,68.0
PK in K-12 Schools,All Students,2022-23,4210,831,3379,80.3,29,24,82.8
0K,All Students,2018-19,4465,705,3760,84.2,25,15,60.0
0K,All Students,2019-20,2554,340,2214,86.7,24,12,50.0
0K,All Students,2020-21,3365,418,2947,87.6,20,9,45.0
0K,All Students,2021-22,3103,941,2162,69.7,20,16,80.0
0K,All Students,2022-23,2418,466,1952,80.7,16,12,75.0
1,All Students,2018-19,3669,481,3188,86.9,22,14,63.6
1,All Students,2019-20,2981,498,2483,83.3,26,13,50.0
1,All Students,2020-21,4426,654,3772,85.2,26,13,50.0
1,All Students,2021-22,3694,793,2901,78.5,22,18,81.8
1,All Students,2022-23,2829,550,2279,80.6,18,14,77.8
2,All Students,2018-19,3223,340,2883,89.5,20,8,40.0
2,All Students,2019-20,1726,207,1519,88.0,16,9,56.3
2,All Students,2020-21,4811,546,4265,88.7,28,9,32.1
2,All Students,2021-22,4667,915,3752,80.4,29,23,79.3
2,All Students,2022-23,3540,553,2987,84.4,21,13,61.9
3,All Students,2018-19,3918,537,3381,86.3,24,15,62.5
3,All Students,2019-20,2026,260,1766,87.2,19,10,52.6
3,All Students,2020-21,2819,246,2573,91.3,17,7,41.2
3,All Students,2021-22,4779,898,3881,81.2,27,19,70.4
3,All Students,2022-23,4482,737,3745,83.6,28,18,64.3
4,All Students,2018-19,7596,672,6924,91.2,44,15,34.1
4,All Students,2019-20,2421,452,1969,81.3,24,17,70.8
4,All Students,2020-21,2975,208,2767,93.0,17,3,17.6
4,All Students,2021-22,2880,485,2395,83.2,19,13,68.4
4,All Students,2022-23,4045,765,3280,81.1,28,18,64.3
5,All Students,2018-19,6881,816,6065,88.1,41,20,48.8
5,All Students,2019-20,4941,511,4430,89.7,43,17,39.5
5,All Students,2020-21,3934,512,3422,87.0,23,11,47.8
5,All Students,2021-22,3585,702,2883,80.4,22,17,77.3
5,All Students,2022-23,2250,341,1909,84.8,15,9,60.0
6,All Students,2018-19,7254,789,6465,89.1,45,22,48.9
6,All Students,2019-20,5063,564,4499,88.9,46,17,37.0
6,All Students,2020-21,8449,791,7658,90.6,50,15,30.0
6,All Students,2021-22,4961,968,3993,80.5,33,23,69.7
6,All Students,2022-23,4279,534,3745,87.5,28,13,46.4
7,All Students,2018-19,7709,808,6901,89.5,45,17,37.8
7,All Students,2019-20,4695,482,4213,89.7,43,18,41.9
7,All Students,2020-21,7476,932,6544,87.5,44,19,43.2
7,All Students,2021-22,8365,1493,6872,82.2,51,33,64.7
7,All Students,2022-23,3822,794,3028,79.2,26,19,73.1
8,All Students,2018-19,7158,761,6397,89.4,44,21,47.7
8,All Students,2019-20,5587,725,4862,87.0,51,22,43.1
8,All Students,2020-21,7735,802,6933,89.6,47,21,44.7
8,All Students,2021-22,6838,1224,5614,82.1,41,24,58.5
8,All Students,2022-23,7578,1559,6019,79.4,47,31,66.0
All Grades,All Students,2018-19,40842,3731,37111,90.9,251,83,33.1
All Grades,All Students,2019-20,26631,2494,24137,90.6,246,83,33.7
All Grades,All Students,2020-21,36697,2599,34098,92.9,222,57,25.7
All Grades,All Students,2021-22,32375,3895,28480,88.0,194,100,51.5
All Grades,All Students,2022-23,33156,3883,29273,88.3,203,103,50.7
PK in K-12 Schools,All Students,2018-19,4375,488,3887,88.8,28,11,39.3
PK in K-12 Schools,All Students,2019-20,3107,309,2798,90.1,30,12,40.0
PK in K-12 Schools,All Students,2020-21,3041,261,2780,91.4,20,7,35.0
PK in K-12 Schools,All Students,2021-22,4284,754,3530,82.4,27,19,70.4
PK in K-12 Schools,All Students,2022-23,5557,883,4674,84.1,34,25,73.5
0K,All Students,2018-19,7979,920,7059,88.5,48,21,43.8
0K,All Students,2019-20,4796,552,4244,88.5,46,20,43.5
0K,All Students,2020-21,6599,567,6032,91.4,38,11,28.9
0K,All Students,2021-22,4031,479,3552,88.1,23,13,56.5
0K,All Students,2022-23,3319,388,2931,88.3,21,10,47.6
1,All Students,2018-19,7630,695,6935,90.9,47,18,38.3
1,All Students,2019-20,3939,385,3554,90.2,35,12,34.3
1,All Students,2020-21,5493,497,4996,91.0,33,12,36.4
1,All Students,2021-22,5931,688,5243,88.4,35,18,51.4
1,All Students,2022-23,4488,601,3887,86.6,28,18,64.3
2,All Students,2018-19,4927,440,4487,91.1,30,8,26.7
2,All Students,2019-20,4401,402,3999,90.9,41,12,29.3
2,All Students,2020-21,5553,402,5151,92.8,35,10,28.6
2,All Students,2021-22,4803,620,4183,87.1,29,19,65.5
2,All Students,2022-23,5060,442,4618,91.3,33,11,33.3
3,All Students,2018-19,6910,568,6342,91.8,43,13,30.2
3,All Students,2019-20,3450,278,3172,91.9,30,8,26.7
3,All Students,2020-21,6006,407,5599,93.2,35,8,22.9
3,All Students,2021-22,5223,522,4701,90.0,31,11,35.5
3,All Students,2022-23,4520,472,4048,89.6,26,13,50.0
4,All Students,2018-19,4565,352,4213,92.3,27,7,25.9
4,All Students,2019-20,3675,371,3304,89.9,34,12,35.3
4,All Students,2020-21,4624,118,4506,97.4,29,4,13.8
4,All Students,2021-22,4601,538,4063,88.3,27,12,44.4
4,All Students,2022-23,5298,551,4747,89.6,31,14,45.2
5,All Students,2018-19,4456,268,4188,94.0,28,5,17.9
5,All Students,2019-20,3263,197,3066,94.0,30,7,23.3
5,All Students,2020-21,5381,347,5034,93.6,32,5,15.6
5,All Students,2021-22,3502,294,3208,91.6,22,8,36.4
5,All Students,2022-23,4914,546,4368,88.9,30,12,40.0
All Grades,All Students,2018-19,40702,4604,36098,88.7,243,117,48.1
All Grades,All Students,2019-20,27356,2544,24812,90.7,247,94,38.1
All Grades,All Students,2020-21,38761,4809,33952,87.6,233,112,48.1
All Grades,All Students,2021-22,37204,6361,30843,82.9,230,152,66.1
All Grades,All Students,2022-23,35289,4893,30396,86.1,232,126,54.3
PK in K-12 Schools,All Students,2018-19,3568,631,2937,82.3,23,17,73.9
PK in K-12 Schools,All Students,2019-20,3793,447,3346,88.2,35,16,45.7
PK in K-12 Schools,All Students,2020-21,3135,392,2743,87.5,19,11,57.9
PK in K-12 Schools,All Students,2021-22,4783,1263,3520,73.6,34,25,73.5
PK in K-12 Schools,All Students,2022-23,5186,1077,4109,79.2,34,29,85.3
0K,All Students,2018-19,7641,1165,6476,84.8,47,30,63.8
0K,All Students,2019-20,2660,287,2373,89.2,24,12,50.0
0K,All Students,2020-21,5127,789,4338,84.6,32,20,62.5
0K,All Students,2021-22,4253,776,3477,81.8,26,17,65.4
0K,All Students,2022-23,3747,618,3129,83.5,26,16,61.5
1,All Students,2018-19,5718,645,5073,88.7,35,19,54.3
1,All Students,2019-20,5204,607,4597,88.3,48,21,43.8
1,All Students,2020-21,4304,600,3704,86.1,25,13,52.0
1,All Students,2021-22,4174,523,3651,87.5,25,14,56.0
1,All Students,2022-23,4082,520,3562,87.3,26,12,46.2
2,All Students,2018-19,7398,880,6518,88.1,43,22,51.2
2,All Students,2019-20,3547,346,3201,90.2,32,15,46.9
2,All Students,2020-21,7465,812,6653,89.1,44,18,40.9
2,All Students,2021-22,4023,636,3387,84.2,25,16,64.0
2,All Students,2022-23,4218,418,3800,90.1,29,13,44.8
3,All Students,2018-19,5248,435,4813,91.7,31,12,38.7
3,All Students,2019-20,4836,383,4453,92.1,44,14,31.8
3,All Students,2020-21,5535,699,4836,87.4,35,16,45.7
3,All Students,2021-22,6945,953,5992,86.3,42,25,59.5
3,All Students,2022-23,3974,464,3510,88.3,29,13,44.8
4,All Students,2018-19,5287,444,4843,91.6,31,9,29.0
4,All Students,2019-20,3559,238,3321,93.3,31,9,29.0
4,All Students,2020-21,7514,841,6673,88.8,45,19,42.2
4,All Students,2021-22,5465,1078,4387,80.3,33,26,78.8
4,All Students,2022-23,6917,897,6020,87.0,41,22,53.7
5,All Students,2018-19,5842,404,5438,93.1,33,8,24.2
5,All Students,2019-20,3757,236,3521,93.7,33,7,21.2
5,All Students,2020-21,5681,676,5005,88.1,33,15,45.5
5,All Students,2021-22,7561,1132,6429,85.0,45,29,64.4
5,All Students,2022-23,7165,899,6266,87.5,47,21,44.7
All Grades,All Students,2018-19,64913,3960,60953,93.9,391,95,24.3
All Grades,All Students,2019-20,45069,2737,42332,93.9,408,79,19.4
All Grades,All Students,2020-21,64920,3930,60990,93.9,382,74,19.4
All Grades,All Students,2021-22,56812,5762,51050,89.9,343,142,41.4
All Grades,All Students,2022-23,51572,4987,46585,90.3,316,124,39.2
PK in K-12 Schools,All Students,2018-19,6096,570,5526,90.6,37,14,37.8
PK in K-12 Schools,All Students,2019-20,4042,320,3722,92.1,36,11,30.6
PK in K-12 Schools,All Students,2020-21,4612,162,4450,96.5,27,2,7.4
PK in K-12 Schools,All Students,2021-22,4240,550,3690,87.0,27,16,59.3
PK in K-12 Schools,All Students,2022-23,4234,515,3719,87.8,29,12,41.4
0K,All Students,2018-19,9829,681,9148,93.1,61,17,27.9
0K,All Students,2019-20,7943,622,7321,92.2,73,18,24.7
0K,All Students,2020-21,10478,793,9685,92.4,64,16,25.0
0K,All Students,2021-22,8891,1154,7737,87.0,54,29,53.7
0K,All Students,2022-23,7820,829,6991,89.4,47,22,46.8
1,All Students,2018-19,11762,910,10852,92.3,71,25,35.2
1,All Students,2019-20,7075,440,6635,93.8,64,11,17.2
1,All Students,2020-21,11077,801,10276,92.8,66,18,27.3
1,All Students,2021-22,8972,831,8141,90.7,56,21,37.5
1,All Students,2022-23,7667,826,6841,89.2,47,18,38.3
2,All Students,2018-19,9613,499,9114,94.8,59,10,16.9
2,All Students,2019-20,8302,531,7771,93.6,76,18,23.7
2,All Students,2020-21,10154,348,9806,96.6,60,7,11.7
2,All Students,2021-22,9480,945,8535,90.0,56,21,37.5
2,All Students,2022-23,7829,720,7109,90.8,47,20,42.6
3,All Students,2018-19,9396,450,8946,95.2,55,11,20.0
3,All Students,2019-20,5914,286,5628,95.2,55,8,14.5
3,All Students,2020-21,10877,888,9989,91.8,63,16,25.4
3,All Students,2021-22,8198,693,7505,91.5,50,17,34.0
3,All Students,2022-23,8357,749,7608,91.0,52,19,36.5
4,All Students,2018-19,8188,386,7802,95.3,50,9,18.0
4,All Students,2019-20,6152,276,5876,95.5,54,7,13.0
4,All Students,2020-21,8651,390,8261,95.5,50,5,10.0
4,All Students,2021-22,8840,888,7952,90.0,52,22,42.3
4,All Students,2022-23,7022,615,6407,91.2,42,13,31.0
5,All Students,2018-19,10029,464,9565,95.4,58,9,15.5
5,All Students,2019-20,5641,262,5379,95.4,50,6,12.0
5,All Students,2020-21,9071,548,8523,94.0,52,10,19.2
5,All Students,2021-22,8191,701,7490,91.4,48,16,33.3
5,All Students,2022-23,8643,733,7910,91.5,52,20,38.5
All Grades,All Students,2018-19,51585,5514,46071,89.3,318,153,48.1
All Grades,All Students,2019-20,28401,2692,25709,90.5,266,109,41.0
All Grades,All Students,2020-21,36644,5816,30828,84.1,219,120,54.8
All Grades,All Students,2021-22,31427,5140,26287,83.6,204,135,66.2
All Grades,All Students,2022-23,33879,4597,29282,86.4,225,140,62.2
PK in K-12 Schools,All Students,2018-19,2696,342,2354,87.3,18,12,66.7
PK in K-12 Schools,All Students,2019-20,1191,158,1033,86.7,13,8,61.5
PK in K-12 Schools,All Students,2020-21,1800,521,1279,71.1,12,9,75.0
PK in K-12 Schools,All Students,2021-22,3302,725,2577,78.0,24,18,75.0
PK in K-12 Schools,All Students,2022-23,4114,808,3306,80.4,30,24,80.0
0K,All Students,2018-19,8004,1195,6809,85.1,52,35,67.3
0K,All Students,2019-20,3439,381,3058,88.9,34,16,47.1
0K,All Students,2020-21,3333,631,2702,81.1,21,12,57.1
0K,All Students,2021-22,3754,559,3195,85.1,26,17,65.4
0K,All Students,2022-23,3724,524,3200,85.9,28,18,64.3
1,All Students,2018-19,6326,710,5616,88.8,40,21,52.5
1,All Students,2019-20,4850,579,4271,88.1,46,26,56.5
1,All Students,2020-21,5393,875,4518,83.8,31,19,61.3
1,All Students,2021-22,4515,764,3751,83.1,30,15,50.0
1,All Students,2022-23,4781,568,4213,88.1,31,17,54.8
2,All Students,2018-19,6659,772,5887,88.4,41,22,53.7
2,All Students,2019-20,3868,340,3528,91.2,35,13,37.1
2,All Students,2020-21,6621,1182,5439,82.1,40,28,70.0
2,All Students,2021-22,4203,652,3551,84.5,29,21,72.4
2,All Students,2022-23,4756,556,4200,88.3,33,16,48.5
3,All Students,2018-19,8485,718,7767,91.5,53,22,41.5
3,All Students,2019-20,4060,403,3657,90.1,38,15,39.5
3,All Students,2020-21,6318,621,5697,90.2,37,12,32.4
3,All Students,2021-22,5366,873,4493,83.7,33,22,66.7
3,All Students,2022-23,5320,632,4688,88.1,35,20,57.1
4,All Students,2018-19,9613,788,8825,91.8,56,16,28.6
4,All Students,2019-20,5043,397,4646,92.1,45,16,35.6
4,All Students,2020-21,5831,749,5082,87.2,35,16,45.7
4,All Students,2021-22,5302,843,4459,84.1,34,26,76.5
4,All Students,2022-23,5420,814,4606,85.0,34,23,67.6
5,All Students,2018-19,9802,989,8813,89.9,58,25,43.1
5,All Students,2019-20,5950,434,5516,92.7,55,15,27.3
5,All Students,2020-21,7348,1237,6111,83.2,43,24,55.8
5,All Students,2021-22,4985,724,4261,85.5,28,16,57.1
5,All Students,2022-23,5764,695,5069,87.9,34,22,64.7
All Grades,All Students,2018-19,67989,7814,60175,88.5,415,204,49.2
All Grades,All Students,2019-20,42614,4809,37805,88.7,402,191,47.5
All Grades,All Students,2020-21,61555,13060,48495,78.8,369,233,63.1
All Grades,All Students,2021-22,60149,13065,47084,78.3,372,297,79.8
All Grades,All Students,2022-23,58905,10782,48123,81.7,414,286,69.1
PK in K-12 Schools,All Students,2018-19,1883,368,1515,80.5,15,11,73.3
PK in K-12 Schools,All Students,2019-20,925,225,700,75.7,13,11,84.6
PK in K-12 Schools,All Students,2020-21,2204,s,s,s,s,s,s
PK in K-12 Schools,All Students,2021-22,2785,s,s,s,s,s,s
PK in K-12 Schools,All Students,2022-23,4730,1308,3422,72.3,36,31,86.1
0K,All Students,2018-19,5147,857,4290,83.3,30,20,66.7
0K,All Students,2019-20,2943,435,2508,85.2,29,18,62.1
0K,All Students,2020-21,3484,618,2866,82.3,21,10,47.6
0K,All Students,2021-22,4521,1014,3507,77.6,27,23,85.2
0K,All Students,2022-23,2715,s,s,s,s,s,s
1,All Students,2018-19,5880,813,5067,86.2,36,24,66.7
1,All Students,2019-20,3058,396,2662,87.1,27,14,51.9
1,All Students,2020-21,4495,1227,3268,72.7,26,22,84.6
1,All Students,2021-22,4314,927,3387,78.5,26,19,73.1
1,All Students,2022-23,4949,908,4041,81.7,36,27,75.0
2,All Students,2018-19,5621,679,4942,87.9,33,18,54.5
2,All Students,2019-20,3578,495,3083,86.2,33,24,72.7
2,All Students,2020-21,4412,677,3735,84.7,28,14,50.0
2,All Students,2021-22,4310,1148,3162,73.4,28,26,92.9
2,All Students,2022-23,3898,629,3269,83.9,30,16,53.3
3,All Students,2018-19,4652,688,3964,85.2,29,19,65.5
3,All Students,2019-20,3112,281,2831,91.0,28,11,39.3
3,All Students,2020-21,5696,1418,4278,75.1,35,27,77.1
3,All Students,2021-22,4769,947,3822,80.1,30,23,76.7
3,All Students,2022-23,4675,843,3832,82.0,37,24,64.9
4,All Students,2018-19,4539,461,4078,89.8,28,13,46.4
4,All Students,2019-20,3422,389,3033,88.6,33,15,45.5
4,All Students,2020-21,4357,608,3749,86.0,26,10,38.5
4,All Students,2021-22,5126,1093,4033,78.7,30,25,83.3
4,All Students,2022-23,5505,1111,4394,79.8,38,31,81.6
5,All Students,2018-19,4839,491,4348,89.9,29,13,44.8
5,All Students,2019-20,3354,325,3029,90.3,33,13,39.4
5,All Students,2020-21,5484,1184,4300,78.4,32,19,59.4
5,All Students,2021-22,4095,782,3313,80.9,24,19,79.2
5,All Students,2022-23,5229,1183,4046,77.4,38,32,84.2
6,All Students,2018-19,11504,1231,10273,89.3,68,28,41.2
6,All Students,2019-20,7677,785,6892,89.8,72,29,40.3
6,All Students,2020-21,9844,1097,8747,88.9,59,23,39.0
6,All Students,2021-22,10200,2141,8059,79.0,61,46,75.4
6,All Students,2022-23,7319,1156,6163,84.2,50,34,68.0
7,All Students,2018-19,12148,1012,11136,91.7,73,26,35.6
7,All Students,2019-20,6986,741,6245,89.4,65,28,43.1
7,All Students,2020-21,11379,2804,8575,75.4,67,52,77.6
7,All Students,2021-22,8699,1573,7126,81.9,58,43,74.1
7,All Students,2022-23,10612,1947,8665,81.7,66,45,68.2
8,All Students,2018-19,11776,1214,10562,89.7,74,32,43.2
8,All Students,2019-20,7559,737,6822,90.3,69,28,40.6
8,All Students,2020-21,10110,2565,7545,74.6,59,40,67.8
8,All Students,2021-22,11236,2618,8618,76.7,67,55,82.1
8,All Students,2022-23,9153,1290,7863,85.9,61,35,57.4
9,All Students,2020-21,90,s,s,s,s,s,s
9,All Students,2021-22,94,s,s,s,s,s,s
9,All Students,2022-23,120,s,s,s,s,s,s
All Grades,All Students,2018-19,62653,5790,56863,90.8,381,147,38.6
All Grades,All Students,2019-20,37704,3505,34199,90.7,350,134,38.3
All Grades,All Students,2020-21,56464,5402,51062,90.4,344,123,35.8
All Grades,All Students,2021-22,59093,8822,50271,85.1,361,228,63.2
All Grades,All Students,2022-23,61801,8240,53561,86.7,388,210,54.1
PK in K-12 Schools,All Students,2018-19,7525,892,6633,88.1,47,25,53.2
PK in K-12 Schools,All Students,2019-20,5918,608,5310,89.7,55,25,45.5
PK in K-12 Schools,All Students,2020-21,7500,994,6506,86.7,47,19,40.4
PK in K-12 Schools,All Students,2021-22,10789,1807,8982,83.3,69,50,72.5
PK in K-12 Schools,All Students,2022-23,12381,2254,10127,81.8,85,60,70.6
0K,All Students,2018-19,10298,1200,9098,88.3,65,35,53.8
0K,All Students,2019-20,6310,717,5593,88.6,60,25,41.7
0K,All Students,2020-21,9562,1062,8500,88.9,58,29,50.0
0K,All Students,2021-22,8784,1649,7135,81.2,53,35,66.0
0K,All Students,2022-23,7709,1097,6612,85.8,46,21,45.7
1,All Students,2018-19,9575,770,8805,92.0,61,17,27.9
1,All Students,2019-20,4847,454,4393,90.6,45,20,44.4
1,All Students,2020-21,8801,913,7888,89.6,54,23,42.6
1,All Students,2021-22,9251,1254,7997,86.4,55,31,56.4
1,All Students,2022-23,9072,1386,7686,84.7,56,35,62.5
2,All Students,2018-19,8781,805,7976,90.8,52,21,40.4
2,All Students,2019-20,5397,455,4942,91.6,49,17,34.7
2,All Students,2020-21,6632,531,6101,92.0,42,14,33.3
2,All Students,2021-22,7720,981,6739,87.3,50,26,52.0
2,All Students,2022-23,8154,743,7411,90.9,54,23,42.6
3,All Students,2018-19,9029,880,8149,90.3,54,24,44.4
